ticker,pe,roe,analyst_rating_raw
2961.T,9.233584,0.06367,none
2962.T,0.0,-0.90405,none
2970.T,12.263263,0.32661,none
2975.T,14.49287,0.17834,strong_buy
2978.T,70.38269,0.03707,none
2980.T,51.492992,0.17882,none
2981.T,6.1702356,0.25280002,none
2982.T,6.357439,0.16779,none
2983.T,9.328316,0.36453998,strong_buy
2984.T,43.85749,0.00434,none
2985.T,13.8432255,0.0,none
2986.T,10.567696,0.2552,none
2990.T,82.692314,0.01288,none
2991.T,6.596417,0.21067,none
2992.T,47.619045,0.0,none
2993.T,5.5835094,0.18962999,none
2994.T,9.920824,0.0,none
2995.T,4.7125354,0.0,none
2997.T,14.471104,0.09924,none
2998.T,20.834486,0.23942,none
2999.T,11.694677,0.11911,none
3001.T,15.290926,0.06137,none
3002.T,49.018387,0.02777,none
3003.T,12.594685,0.12839,none
3004.T,4.9180326,0.18318,none
3011.T,10.674157,0.08488,none
3010.T,12.258953,0.11903,none
3020.T,5.1493435,0.18445,none
3021.T,15.43185,0.23807,none
3023.T,9.781529,0.10543,none
3024.T,8.389067,0.09462,none
3028.T,14.450587,0.03903,none
3030.T,25.129,0.16603,none
3031.T,16.261726,0.1568,strong_buy
3034.T,9.794124,0.11964,none
3035.T,10.183876,0.08528,none
3036.T,17.211704,0.08831,none
3038.T,22.727272,0.18132,hold
3040.T,14.264967,0.17981,none
3041.T,0.0,-0.00587,none
3042.T,15.580285,0.06587,none
3045.T,9.199341,0.05171,none
3046.T,15.1285925,0.29479998,none
3048.T,17.889683,0.110240005,none
3050.T,12.594401,0.06007,none
3053.T,0.0,-0.03471,none
3054.T,10.310109,0.08015,none
3058.T,18.379978,0.13186,none
3059.T,0.0,-0.15559,none
3063.T,25.77287,0.04499,none
3067.T,53.17647,0.03481,none
3064.T,27.763319,0.28151,hold
3068.T,0.0,-0.109189995,none
3065.T,16.129354,0.12591,none
3069.T,34.84536,0.07596,none
3071.T,0.0,0.050240003,none
3075.T,29.067245,0.0,none
3076.T,11.520886,0.117130004,none
3070.T,0.0,-0.094239995,none
3079.T,32.786884,0.03503,none
3080.T,52.63158,0.02319,none
3077.T,15.265662,0.0,none
3082.T,39.991676,0.12618,none
3083.T,0.0,-0.53183,none
3086.T,21.141771,0.06974,hold
3087.T,19.876875,0.06641,none
3089.T,4.7280817,0.22966999,none
3088.T,17.985123,0.10854,buy
3091.T,34.012577,0.09423,none
3092.T,21.737421,0.50288,hold
3096.T,14.7924795,0.09105,none
3097.T,28.571428,0.17232999,strong_buy
3093.T,13.122875,0.28184998,none
3099.T,20.661581,0.096540004,hold
3101.T,16.811192,0.04754,buy
3103.T,35.03012,0.34915,none
3104.T,24.691757,0.105299994,strong_buy
3105.T,18.381775,0.00866,none
3106.T,13.157895,0.10023,none
3109.T,14.306608,0.0422,none
3110.T,64.515305,0.25874,none
3111.T,0.0,-0.34333,none
3113.T,0.0,-0.51857,none
3107.T,9.250616,0.21067,none
3116.T,21.141521,0.046609998,hold
3123.T,7.651396,0.06528,none
3121.T,0.0,-0.01049,none
3131.T,9.940401,0.074829996,none
3132.T,19.645733,0.07953,none
3133.T,21.830986,-3.7151902,none
3134.T,9.17367,0.056939997,strong_buy
3135.T,56.807983,0.06662,none
3137.T,38.253967,0.0,none
3138.T,47.161938,0.1972,none
3139.T,8.576389,0.14384,none
3140.T,33.218533,0.08687,none
3150.T,14.64141,0.29813,none
3148.T,13.245162,0.11638,none
