ticker,name,sector,market,current_price,annual_return,volatility,annual_dividend_per_share,pe,roe,analyst_rating
245A.T,ＩＮＧＳ,小売業,グロース（内国株式）,2481.0,-0.3165289256198347,0.3175257985726035,0.0,18.069042,0.0,-
246A.T,アスア,サービス業,グロース（内国株式）,1085.0,0.35975811618476133,0.49288021919404545,7.0,22.325266,0.0,-
2471.T,エスプール,サービス業,プライム（内国株式）,276.0,-0.1415701443797941,0.2573671273737708,10.0,14.3244705,0.14418,-
2479.T,ジェイテック,サービス業,スタンダード（内国株式）,237.0,0.023061653894450185,0.16827094312226712,13.0,10.123352,0.107200004,-
2481.T,タウンニュース社,サービス業,スタンダード（内国株式）,648.0,-0.08098457134181146,0.18266597943398952,20.0,9.9408455,0.07535,-
2483.T,翻訳センター,サービス業,スタンダード（内国株式）,2227.0,0.21908867502006021,0.2864155672834022,140.0,8.163359,0.09791,-
2489.T,アドウェイズ,サービス業,スタンダード（内国株式）,311.0,0.05782861945026138,0.35699628176377274,6.42,43.49845,0.02076,-
2491.T,バリューコマース,サービス業,プライム（内国株式）,464.0,-0.41264747310212535,0.35288657947722746,32.0,20.879608,0.038900003,-
2493.T,イーサポートリンク,サービス業,スタンダード（内国株式）,943.0,0.03839981396311658,0.10533184375831399,5.0,30.861965,0.03579,-
249A.T,ヒューマンアジャスト,サービス業,PRO Market,1700.0,0.0,0.0,0.0,18.315018,0.0,-
2501.T,サッポロビール,食料品,プライム（内国株式）,1960.0,0.41709076604956136,0.34354782310286214,38.0,48.539295,0.072340004,やや弱気
2502.T,アサヒグループホールディングス,食料品,プライム（内国株式）,1694.5,-0.08806566973251903,0.22110177261504732,52.0,14.064259,0.05805,-
2503.T,キリンホールディングス,食料品,プライム（内国株式）,3038.0,0.521468020971274,0.2542317934001127,75.0,14.577499,0.11389,買い
250A.T,シマダヤ,食料品,スタンダード（内国株式）,1649.0,-0.12822752005315585,0.20829756313069528,52.0,10.485569,0.0,-
251A.T,ニューロマジック,サービス業,PRO Market,256.0,0.04166668994973155,0.042431280145089005,10.24,0.0,0.17705,-
2531.T,宝ホールディングス,食料品,プライム（内国株式）,2060.0,0.6081175846027224,0.3997272138248389,31.0,26.955202,0.03949,-
2533.T,オエノンホールディングス,食料品,プライム（内国株式）,447.0,-0.2818606077786942,0.33794695500648725,11.0,7.9707494,0.119219996,-
2573.T,北海道コカ・コーラボトリング,食料品,スタンダード（内国株式）,4000.0,0.16125858770713092,0.12329523711339076,30.0,35.714287,0.03907,-
2586.T,フルッタフルッタ,食料品,グロース（内国株式）,93.0,-0.7445054945054945,0.9388586839845036,0.0,24.406048,0.05617,-
2612.T,かどや製油,食料品,スタンダード（内国株式）,1742.0,0.45376781546245226,0.23717203762091696,45.666668,16.694492,0.078,-
261A.T,日水コン,サービス業,スタンダード（内国株式）,2004.0,-0.3329186483262551,0.32397740871321956,79.0,15.404232,0.12052,-
264A.T,Ｓｃｈｏｏ,サービス業,グロース（内国株式）,333.0,-0.5438356164383562,0.7623187404117827,0.0,27.17796,0.13997,-
2652.T,まんだらけ,小売業,スタンダード（内国株式）,449.0,0.39023000995935,0.36210579163408096,1.0,9.606987,0.09157,-
2654.T,アスモ,小売業,スタンダード（内国株式）,410.0,0.061765677957863765,0.1590745441334695,10.0,19.08615,0.04447,-
2659.T,サンエー,小売業,プライム（内国株式）,3355.0,0.15293972749435658,0.19778137074373506,125.0,19.417757,0.07381,買い
2664.T,カワチ薬品,小売業,プライム（内国株式）,3645.0,0.3412023615708699,0.19208937631650527,100.0,14.792613,0.03799,-
2666.T,オートウェーブ,小売業,スタンダード（内国株式）,189.0,0.2763593264170219,0.23287951000905738,4.0,7.8721375,0.04,-
266A.T,グローカルマーケティング,サービス業,PRO Market,1350.0,0.0,0.0,0.0,525.2919,0.0,-
2673.T,夢みつけ隊,小売業,スタンダード（内国株式）,109.0,-0.2158273381294964,1.1224803408796429,0.0,15.771812,0.05367,-
2676.T,高千穂交易,卸売業,プライム（内国株式）,2059.0,0.08113238579427233,0.17212623117071338,76.0,44.444443,0.0881,-
2678.T,アスクル,小売業,プライム（内国株式）,1258.0,-0.19398916912309253,0.265452683962801,10.0,9.646533,-0.15322,中立
267A.T,トワライズ,その他金融業,PRO Market,1891.0,-0.03959103420766039,0.037890677776048064,20.0,5.0251384,0.094840005,-
2683.T,魚喜,小売業,スタンダード（内国株式）,1009.0,-0.03033272084852081,0.05495389323918704,10.0,114.98856,0.05009,-
2687.T,シー・ヴイ・エス・ベイエリア,サービス業,スタンダード（内国株式）,502.0,-0.1490528924326993,0.18248885352135905,20.0,10.448678,0.04208,-
2694.T,焼肉坂井ホールディングス,小売業,スタンダード（内国株式）,72.0,-0.006801440988611644,0.14374378068352126,0.5,0.0,-0.11971,-
2695.T,くら寿司,小売業,プライム（内国株式）,1660.0,-0.16810452331297587,0.28854531449877946,10.0,39.216766,0.04163,-
2698.T,キャンドゥ,小売業,スタンダード（内国株式）,3630.0,-0.0503494011224523,0.16470470021763406,17.0,117.6259,0.05883,-
269A.T,Ｓａｐｅｅｔ,情報・通信業,グロース（内国株式）,2520.0,-0.15577889447236182,0.4438475454338736,0.0,51.12832,0.27011,-
